,Player,Tm,Age,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,TD,Lng,Y/A,Y/G,Fmb,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG,Rec,ReceivingYds
59,TaysomHill,NOR,30,wr,16,8,87,457,34.0,356,4.1,101,1.2,3,29.0,8.0,43.0,5.3,28.6,10.0,NO,17.0,14.0,13.0,20,20,bye,10,14,19,22,66,61.0,78,63.0,10.0,24.0,21.0,472.0,29.5,8.0,98.0
60,JDMcKissic,WAS,27,rb,16,7,85,365,25.0,180,2.1,185,2.2,9,9.4,1.0,17.0,4.3,22.8,3.0,WAS,32.0,29.0,34.0,39,27,39,33,bye,45,62,32,28.0,53,41.0,70.0,49.0,28.0,641.0,40.1,80.0,589.0
61,JordanWilkins,IND,26,,15,0,84,308,17.0,148,1.8,160,1.9,10,8.4,1.0,22.0,3.7,20.5,0.0,IND,1.0,17.0,16.0,12,2,4,bye,39,23,14,9,26.0,13,6.0,0.0,0.0,0.0,182.0,12.1,12.0,105.0
62,RussellWilson,SEA,32,QB,16,16,83,513,25.0,489,5.9,24,0.3,0,,2.0,38.0,6.2,32.1,7.0,SEA,62.0,63.0,76.0,63,54,bye,84,68,65,67,66,67.0,72,55.0,57.0,63.0,65.0,1047.0,65.4,,
63,LeVeonBell,2TM,28,,11,4,82,328,21.0,163,2.0,165,2.0,9,9.1,2.0,16.0,4.0,29.8,1.0,Multi,32.0,0.0,0.0,0,46,0,17,17,19,0,20,24.0,33,11.0,31.0,20.0,0.0,270.0,24.5,16.0,138.0
64,CarlosHyde,SEA,30,,10,1,81,356,20.0,172,2.1,184,2.3,4,20.3,4.0,50.0,4.4,35.6,1.0,SEA,22.0,15.0,16.0,0,0,bye,41,0,0,0,46,41.0,18,32.0,10.0,20.0,0.0,261.0,26.1,16.0,93.0
65,JerickMcKinnon,SFO,28,rb,16,4,81,319,16.0,191,2.4,128,1.6,3,27.0,5.0,55.0,3.9,19.9,0.0,SF,19.0,13.0,48.0,67,16,23,12,35,42,44,bye,18.0,2,0.0,14.0,10.0,9.0,372.0,23.3,33.0,253.0
66,BostonScott,PHI,25,rb,16,4,80,374,16.0,220,2.8,154,1.9,10,8.0,1.0,56.0,4.7,23.4,2.0,PHI,38.0,13.0,13.0,9,7,35,55,42,bye,18,27,26.0,16,15.0,15.0,8.0,46.0,383.0,23.9,25.0,212.0
67,SonyMichel,NWE,25,rb,9,6,79,449,19.0,164,2.1,285,3.6,9,8.8,1.0,48.0,5.7,49.9,0.0,NE,19.0,15.0,26.0,0,bye,0,0,0,0,0,0,1.0,22,15.0,23.0,19.0,41.0,181.0,20.1,7.0,114.0
68,DukeJohnson,HOU,27,rb,11,5,77,235,11.0,119,1.5,116,1.5,5,15.4,1.0,23.0,3.1,21.4,3.0,HOU,14.0,0.0,0.0,25,17,19,20,bye,53,54,47,42.0,34,30.0,0.0,0.0,0.0,355.0,32.3,28.0,249.0
69,SalvonAhmed,MIA,22,rb,6,4,75,319,18.0,245,3.3,74,1.0,4,18.8,3.0,31.0,4.3,53.2,0.0,MIA,0.0,0.0,0.0,0,0,0,bye,0,28,44,43,0.0,0,0.0,44.0,15.0,31.0,205.0,34.2,11.0,61.0
70,MarkIngram,BAL,31,rb,11,9,72,299,14.0,173,2.4,126,1.8,6,12.0,2.0,30.0,4.2,27.2,0.0,BAL,21.0,27.0,18.0,14,19,10,bye,0,0,17,6,0.0,11,1.0,0.0,0.0,17.0,161.0,14.6,6.0,50.0
71,RexBurkhead,NWE,30,,10,0,67,274,18.0,178,2.7,96,1.4,5,13.4,3.0,18.0,4.1,27.4,0.0,NE,19.0,51.0,32.0,0,bye,18,25,32,34,20,12,0.0,0,0.0,0.0,0.0,0.0,243.0,27.0,25.0,192.0
72,DanielJones,NYG,23,QB,14,14,65,423,15.0,375,5.8,48,0.7,1,65.0,1.0,80.0,6.5,30.2,11.0,NYG,68.0,65.0,52.0,68,68,48,60,74,77,71,bye,51.0,0,44.0,0.0,64.0,58.0,868.0,62.0,,
73,CordarrellePatterson,CHI,29,wr,16,3,64,232,12.0,136,2.1,96,1.5,6,10.7,1.0,13.0,3.6,14.5,0.0,CHI,10.0,14.0,11.0,11,15,12,0,10,17,25,bye,9.0,17,19.0,6.0,0.0,12.0,188.0,12.5,21.0,132.0
74,LaMicalPerine,NYJ,22,,10,0,64,232,18.0,132,2.1,100,1.6,2,32.0,2.0,20.0,3.6,23.2,0.0,NYJ,0.0,9.0,21.0,10,0,41,40,28,21,bye,11,0.0,0,0.0,0.0,19.0,0.0,200.0,20.0,11.0,63.0
75,JalenHurts,PHI,22,qb,15,4,63,354,25.0,285,4.5,69,1.1,4,15.8,3.0,24.0,5.6,23.6,9.0,PHI,0.0,3.0,3.0,4,2,7,5,2,bye,3,1,2.0,26,69.0,83.0,73.0,50.0,333.0,22.2,1.0,3.0
76,SamajePerine,CIN,25,rb,16,1,63,301,16.0,149,2.4,152,2.4,5,12.6,3.0,46.0,4.8,18.8,0.0,CIN,0.0,0.0,1.0,1,0,3,18,24,bye,16,31,7.0,17,28.0,12.0,29.0,19.0,206.0,12.9,11.0,66.0
