,Player,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
191,TreyBurton,IND,0,0,0,36,25,35,bye,39,29,37,24,27,25,25,19,34,20,375,28.8
192,RichardRodgers,PHI,2,0,33,22,19,43,67,16,bye,21,22,22,3,1,0,0,0,271,19.4
193,CameronBrate,TB,7,4,5,16,33,23,12,12,12,29,29,23,bye,24,23,32,34,318,19.9
194,JoshHill,NO,36,22,20,40,28,bye,30,22,45,9,0,39,42,18,7,1,0,359,25.6
195,DarrenFells,HOU,25,24,24,52,50,62,53,bye,34,34,21,29,27,40,18,20,26,539,33.7
196,KyleNelson,SF,0,0,2,0,0,0,0,0,0,0,bye,0,0,0,0,0,0,2,0.7
197,MaxxWilliams,ARI,43,0,0,0,0,0,0,bye,34,39,38,53,18,51,23,0,27,326,36.2
198,JesseJames,DET,39,30,33,30,bye,23,24,20,25,32,29,38,24,26,32,12,28,445,27.8
199,TylerKroft,BUF,4,31,44,20,35,30,58,37,27,0,bye,0,0,0,0,12,0,298,29.8
200,NickBoyle,BAL,41,51,26,38,39,57,bye,50,50,31,0,0,0,0,0,0,0,383,42.6
201,MyColePruitt,TEN,31,21,25,bye,0,0,15,17,7,0,0,0,32,34,38,12,30,262,23.8
202,BlakeBell,DAL,8,31,27,29,18,19,21,41,31,bye,14,18,18,15,22,30,16,358,22.4
203,ChrisManhertz,CAR,36,36,24,58,32,33,20,19,30,26,42,25,bye,29,26,36,30,502,31.4
204,CJUzomah,CIN,49,47,0,0,0,0,0,0,bye,0,0,0,0,0,0,0,0,96,48.0
205,DarrenWaller,LV,56,74,56,70,64,bye,59,57,45,64,55,61,74,66,69,63,60,993,62.1
206,JamesOShaughnessy,JAC,21,35,27,35,33,26,44,bye,33,25,0,24,33,27,25,26,31,445,29.7
207,GeoffSwaim,TEN,0,0,0,bye,28,49,10,0,0,36,44,46,39,32,0,24,46,354,35.4
208,EricTomlinson,Multi,2,0,0,0,0,0,0,0,0,0,0,15,14,10,23,23,38,125,17.9
209,DanielBrown,NYJ,0,0,0,0,0,0,0,0,0,bye,0,1,11,4,2,7,3,28,1.8
210,RossTravis,NYJ,0,0,0,0,0,0,0,0,3,bye,0,0,0,0,0,0,0,3,3.0
211,BeauBrinkley,TEN,0,0,0,bye,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.1
212,HunterHenry,LAC,59,71,69,45,67,bye,62,84,78,59,75,78,41,66,59,0,0,913,65.2
213,AustinHooper,CLE,56,57,54,63,58,40,0,0,bye,55,45,47,54,0,45,59,51,684,52.6
214,TylerHigbee,LAR,65,59,50,48,56,45,0,57,bye,59,52,38,69,55,49,52,60,814,54.3
