,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,AirYards,Ctch%,Y/R,Lng,Y/Tgt,R/G,Y/G,Fmb,Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,TTL,AVG
103,ChrisConley,JAX,28,wr,15,4,63,40,471,2,24.0,291,7.3,180,4.5,10.3,4,10.0,4,6.3,1.0,90.1,648.9,63.5%,11.8,51.0,7.5,2.7,31.4,1.0,JAC,16.0,34.0,53.0,21,24,4,16,bye,49,55,37,0.0,8,9.0,23.0,27.0,52.0,428.0,28.5
104,MichaelPittman,IND,23,wr,13,8,61,40,503,1,22.0,210,5.3,293,7.3,8.4,2,20.0,1,1.6,1.0,89.7,512.4,65.6%,12.6,45.0,8.2,3.1,38.7,0.0,IND,42.0,67.0,35.0,0,0,0,bye,45,59,57,67,64.0,58,55.0,45.0,50.0,58.0,702.0,54.0
106,MichaelThomas,NOR,27,wr,7,5,55,40,438,0,25.0,356,8.9,82,2.1,9.6,1,40.0,1,1.8,1.0,88.3,528.0,72.7%,11.0,24.0,8.0,5.7,62.6,0.0,NO,55.0,0.0,0.0,0,0,bye,0,0,40,46,57,43.0,47,57.0,0.0,0.0,0.0,345.0,49.3
108,RandallCobb,HOU,30,wr,10,2,48,38,441,3,20.0,270,7.1,171,4.5,6.7,1,38.0,0,0.0,0.0,125.8,321.6,79.2%,11.6,34.0,9.2,3.8,44.1,0.0,HOU,46.0,40.0,34.0,48,35,44,49,bye,37,32,5,0.0,0,0.0,0.0,0.0,0.0,370.0,37.0
109,TravisFulgham,PHI,25,wr,13,8,67,38,539,4,26.0,439,11.6,100,2.6,12.0,3,12.7,2,3.0,1.0,96.5,804.0,56.7%,14.2,42.0,8.0,2.9,41.5,0.0,PHI,0.0,0.0,0.0,37,46,58,78,59,bye,59,65,37.0,25,11.0,26.0,22.0,29.0,552.0,42.5
113,BraxtonBerrios,NYJ,25,wr,16,2,55,37,394,3,19.0,178,4.8,216,5.8,7.6,2,18.5,3,5.5,1.0,98.6,418.0,67.3%,10.6,43.0,7.2,2.3,24.6,0.0,NYJ,0.0,46.0,52.0,8,24,16,48,48,7,bye,1,3.0,5,11.0,3.0,7.0,11.0,290.0,18.1
116,RashardHiggins,CLE,26,wr,13,6,52,37,599,4,26.0,521,14.1,78,2.1,14.1,0,,0,0.0,2.0,119.0,733.2,71.2%,16.2,43.0,11.5,2.8,46.1,3.0,CLE,16.0,5.0,0.0,0,40,34,44,35,bye,38,40,41.0,49,69.0,47.0,0.0,44.0,502.0,38.6
117,SammyWatkins,KAN,27,wr,10,9,55,37,421,2,27.0,264,7.1,157,4.2,8.1,2,18.5,3,5.5,0.0,102.2,445.5,67.3%,11.4,37.0,7.7,3.7,42.1,1.0,KC,55.0,45.0,65.0,0,26,0,0,0,0,bye,0,57.0,48,54.0,80.0,51.0,0.0,481.0,53.4
123,JakeemGrant,MIA,28,wr,14,4,54,36,373,1,22.0,201,5.6,172,4.8,10.5,9,4.0,3,5.6,2.0,77.2,567.0,66.7%,10.4,30.0,6.9,2.6,26.6,2.0,MIA,33.0,10.0,8.0,29,14,20,bye,16,29,44,55,24.0,39,31.0,0.0,19.0,0.0,371.0,26.5
126,GabrielDavis,BUF,21,WR,16,11,62,35,599,7,27.0,468,13.4,131,3.7,15.2,1,35.0,3,4.8,4.0,100.1,942.4,56.5%,17.1,56.0,9.7,2.2,37.4,1.0,BUF,43.0,22.0,46.0,36,72,33,70,35,32,37,bye,60.0,71,62.0,68.0,72.0,38.0,797.0,49.8
127,DavidMoore,SEA,25,wr,16,6,47,35,417,6,18.0,248,7.1,169,4.8,8.9,0,,3,6.4,0.0,140.7,418.3,74.5%,11.9,57.0,8.9,2.2,26.1,1.0,SEA,33.0,32.0,31.0,22,23,bye,29,20,34,41,37,24.0,45,39.0,21.0,25.0,26.0,482.0,30.1
